Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
121002486,K-2000 Blonds 307/3 Hazel Blonde,1,534041,8/1/2030,3,20,60,11.5,34.5,11.5,34.5,0.15,5.18,39.68
121010796,K-2000 Blonds 307/7 Deer Brown,1,534042,8/1/2030,3,20,60,11.5,34.5,11.5,34.5,0.15,5.18,39.68
121010796,K-2000 Blonds 307/7 Deer Brown,1,512742,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121002488,K-2000 Blonds 308/1 Light Ash Blonde,1,534044,8/1/2030,2,20,40,11.5,23,11.5,23,0.15,3.45,26.45
121002494,K-2000 Browns 304/0 Medium Brown,1,501695,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121002496,K-2000 Browns 304/5 Dark Mahogany,1,515962,8/1/2030,3,20,60,10.8,32.4,10.8,32.4,0.15,4.86,37.26
121002496,K-2000 Browns 304/5 Dark Mahogany,1,512730,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121002497,K-2000 Browns 305/0 Light brown,1,500726,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121002497,K-2000 Browns 305/0 Light brown,1,544975,8/1/2030,2,20,40,9.82,19.64,9.82,19.64,0.15,2.95,22.59
121002497,K-2000 Browns 305/0 Light brown,1,488738,8/1/2030,2,20,40,10.8,21.6,10.8,21.6,0.15,3.24,24.84
121002497,K-2000 Browns 305/0 Light brown,1,512732,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121002501,K-2000 Reds 305/66 Deep Burgundy,1,512734,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121002507,Kamill Cream Classic Camomil 100ml Tube,1,533319,8/1/2030,3,15,45,7.42,22.26,7.42,22.26,0.15,3.34,25.6
121002508,Kamill Cream Classic Camomil 150ml,1,513335,8/1/2030,2,15,30,10.9,21.8,10.9,21.8,0.15,3.27,25.07
121002508,Kamill Cream Classic Camomil 150ml,1,533318,8/1/2030,3,15,45,9.51,28.53,9.51,28.53,0.15,4.28,32.81
121002513,Kamill Hand Cream Soft & Dry 75ml Tube,1,501843,8/1/2030,1,14,14,9.75,9.75,9.75,9.75,0.15,1.46,11.21
121002511,Kamill Skin Cream Classic 200ml (Jar),1,518904,8/1/2030,2,17,34,11.66,23.32,11.66,23.32,0.15,3.5,26.82
121002506,kamill Skin Cream Classic/Camomil 250ml,1,548056,8/1/2030,3,21,63,12.22,36.66,12.22,36.66,0.15,5.5,42.16
111001250,Kapect  Susp120ml,2307289,540887,8/1/2030,2,9.3,18.6,9.3,18.6,6.74,13.49,0,0,13.49
121014963,Katrina Hair Color,1,534064,8/1/2030,22,6,132,2.5,55,2.5,55,0.15,8.25,63.25
121014963,Katrina Hair Color,33,511419,8/1/2030,10,6,60,2.5,25,2.5,25,0.15,3.75,28.75
121014963,Katrina Hair Color,1,510190,8/1/2030,2,6,12,2.5,5,2.5,5,0.15,0.75,5.75
121014963,Katrina Hair Color,1,488734,8/1/2030,2,6,12,3,6,3,6,0.15,0.9,6.9
121019911,Kenana Dental Floss Mint Wax,1,538953,8/1/2030,4,10,40,3.75,15,3.75,15,0,0,15
121002517,Kent Cream Bleach Original,1,500724,8/1/2030,2,16,32,8.14,16.28,8.14,16.28,0.15,2.44,18.72
111004022,Keppra 100mg/ml Oral Sol,1515,493558,8/1/2030,1,282.3,282.3,282.3,282.3,256.64,256.64,0,0,256.64
111001261,Keppra 500mg F.C Tab 30,365350,530459,8/1/2030,2,141.7,283.4,123.22,246.44,123.22,246.44,0,0,246.44
121019163,Keratin Therapy Maintenance Shampo 250ml,1,515939,8/1/2030,2,65,130,36.69,73.38,36.69,73.38,0.15,11.01,84.39
151000652,Kiko Milk Powder Container 3 Pic 01623,1,449344,8/1/2030,1,16,16,15,15,9.75,9.75,0.15,1.46,11.21
121016878,Klare Acne Prone Skin Soap 100gm,1,472703,8/1/2030,1,15,15,7.5,7.5,7.5,7.5,0.15,1.13,8.63
121016878,Klare Acne Prone Skin Soap 100gm,1,524535,8/1/2030,1,15,15,7.5,7.5,7.5,7.5,0.15,1.13,8.63
121016878,Klare Acne Prone Skin Soap 100gm,1,548091,8/1/2030,3,15,45,7.5,22.5,7.5,22.5,0.15,3.38,25.88
121016353,Klare Sulphur And Salicylic Soap 100g,1,548092,8/1/2030,5,15,75,7.5,37.5,7.5,37.5,0.15,5.63,43.13
121016879,Klare Sulphur Resorcinol Soap 100gm,1,547891,8/1/2030,5,15,75,7.5,37.5,7.5,37.5,0.15,5.63,43.13
121016877,Klare Sulphur Soap 100gm,1,537948,8/1/2030,4,15,60,7.2,28.8,7.2,28.8,0.15,4.32,33.12
121016877,Klare Sulphur Soap 100gm,1,548234,8/1/2030,6,15,90,4.8,28.8,4.8,28.8,0.15,4.32,33.12
