Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
121016880,Klare Tar Shampo 110ml,1,515497,8/1/2030,3,25,75,12.5,37.5,12.5,37.5,0.15,5.63,43.13
111001275,Klavox  ds 228mg/5ml  70ml  p,2000768,545538,8/1/2030,3,15.25,45.75,15.25,45.75,7.63,22.88,0,0,22.88
111001277,Klavox ds  156mg/5ml   100ml   p,1153162,512311,8/1/2030,2,17.95,35.9,17.95,35.9,9.72,19.45,0,0,19.45
111001277,Klavox ds  156mg/5ml   100ml   p,1153164,540889,8/1/2030,1,17.95,17.95,17.95,17.95,8.98,8.98,0,0,8.98
111001278,klavox ds 312mg/5ml   100ml   p,1153172,540890,8/1/2030,3,29.3,87.9,29.3,87.9,14.65,43.95,0,0,43.95
111001278,klavox ds 312mg/5ml   100ml   p,1147603,526713,8/1/2030,1,29.3,29.3,29.3,29.3,16.41,16.41,0,0,16.41
111001279,Klavox ds 457mg/5ml 70ml  p,2000466,545539,8/1/2030,2,26.65,53.3,26.65,53.3,13.14,26.28,0,0,26.28
111001280,klavox tabs  375mg blst  20 p,2000423,546197,8/1/2030,1,33.1,33.1,33.1,33.1,16.55,16.55,0,0,16.55
111001281,klavox tabs 1gm blast 14  p,1153273,538101,8/1/2030,4,70.65,282.6,70.65,282.6,36.25,144.99,0,0,144.99
111001281,klavox tabs 1gm blast 14  p,1153267,532484,8/1/2030,1,70.65,70.65,70.65,70.65,30.72,30.72,0,0,30.72
111001282,Klavox tabs 625gm blast  20 p,1148886,511588,8/1/2030,3,57.4,172.2,57.4,172.2,29.66,88.97,0,0,88.97
121020179,Knooz Halwa Nella 370gm,1,534065,8/1/2030,7,10,70,5.2,36.4,5.2,36.4,0.15,5.46,41.86
121020179,Knooz Halwa Nella 370gm,1,547892,8/1/2030,5,10,50,5.2,26,5.2,26,0.15,3.9,29.9
121021763,Koleston Max 304/1 Med Ash Brown 110ml,1,515961,8/1/2030,5,20,100,10.8,54,10.8,54,0.15,8.1,62.1
121021763,Koleston Max 304/1 Med Ash Brown 110ml,1,512729,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121021762,Koleston Max 307/17 Fros Choco 110ml,1,512726,8/1/2030,1,20,20,10.8,10.8,10.8,10.8,0.15,1.62,12.42
121021764,Koleston Max 308/1 Deep Ash  110ml,1,512744,8/1/2030,2,20,40,10.8,21.6,10.8,21.6,0.15,3.24,24.84
121002573,Koleston N. 6/77 Chilli Brown,1,456252,8/1/2030,3,26,78,15.5,46.5,15.5,46.5,0.15,6.98,53.48
121010798,Koleston N. 80 Light Blonde,1,456253,8/1/2030,3,26,78,15.5,46.5,15.5,46.5,0.15,6.98,53.48
121016197,Koleston Root Concealer Spray 75ml,1,512612,8/1/2030,2,32,64,22,44,22,44,0.15,6.6,50.6
143000270,Kotex Maxi - FL Night Time White 10x8pcs,1,429311,8/1/2030,9,14,126,11.1,99.9,11.1,99.9,0.15,14.99,114.89
143000270,Kotex Maxi - FL Night Time White 10x8pcs,1,323253,8/1/2030,3,13,39,11.1,33.3,11.1,33.3,0.15,5,38.3
143000264,Kotex Maxi - FL Normal Designer 4x50pcs,1,453269,8/1/2030,3,36,108,27,81,22.5,67.5,0.15,10.13,77.63
143000262,Kotex Maxi - FL Normal Designer 6x30pcs,1,453265,8/1/2030,1,24,24,18,18,15.8,15.8,0.15,2.37,18.17
143000268,Kotex Maxi - FL Super Designer 12x10pcs,1,517945,8/1/2030,5,9,45,6.5,32.5,5.42,27.08,0.15,4.06,31.14
143000265,Kotex Maxi - FL Super Designer 4x50pcs,1,548425,8/1/2030,3,36,108,22.5,67.5,21.83,65.48,0.15,9.82,75.3
143000347,Kotex Maxi Cotton Maxi Super 6x26,1,548427,8/1/2030,3,24,72,15,45,14.55,43.65,0.15,6.55,50.2
143000375,Kotex Natural Eve Super 16x16,1,517951,8/1/2030,2,24,48,18,36,18,36,0.15,5.4,41.4
121011026,Krem Kap Exfoliating Face & Body Scrub 150ml,1,548129,8/1/2030,6,29,174,16.8,100.8,16.8,100.8,0.15,15.12,115.92
121002581,Kremkap Body Face Scrub Exfolting Cream 500ml,1,548130,8/1/2030,3,42,126,32.5,97.5,32.5,97.5,0.15,14.63,112.13
121021343,La Roche Poasay Effaclar K+ Oily Skin 40ml,1,506457,8/1/2030,1,148.7,148.7,59,59,59,59,0.15,8.85,67.85
121019144,La Roche Posay Effaclar Duo Spf 30 Cream 40nl,1,501201,8/1/2030,2,170.43,340.86,59,118,59,118,0.15,17.7,135.7
121016267,Labello 24h melt in blackberry shine 4.8g,1,524974,8/1/2030,12,14,168,7.89,94.68,7.89,94.68,0.15,14.2,108.88
121002598,Labello Lip Care Cherry 4.8g,1,534599,8/1/2030,8,14,112,7.89,63.12,7.89,63.12,0.15,9.47,72.59
121012290,Labello Lip Care Fruit Shine Pink Watermelon 4.8g,1,546899,8/1/2030,5,14,70,7.89,39.45,7.89,39.45,0.15,5.92,45.37
121014917,Labello Lip Care Original 4.8g,1,524565,8/1/2030,12,14,168,7.89,94.68,7.89,94.68,0.15,14.2,108.88
121014917,Labello Lip Care Original 4.8g,1,546804,8/1/2030,11,14,154,7.89,86.79,7.89,86.79,0.15,13.02,99.81
121014917,Labello Lip Care Original 4.8g,1,500844,8/1/2030,3,14,42,7.89,23.67,7.89,23.67,0.15,3.55,27.22
121002600,Labello Lip Care Rose 4.8 GR,1,509097,8/1/2030,1,14,14,7.89,7.89,7.89,7.89,0.15,1.18,9.07
121002599,Labello Lip Care Strawberry 4.8 Card,1,546950,8/1/2030,12,14,168,7.89,94.68,7.89,94.68,0.15,14.2,108.88
121018333,Labello Peach Shine 4.8 gm,1,515876,8/1/2030,2,14,28,7.89,15.78,7.89,15.78,0.15,2.37,18.15
121018333,Labello Peach Shine 4.8 gm,1,547346,8/1/2030,10,14,140,7.89,78.9,7.89,78.9,0.15,11.84,90.74
121010172,Lacalut Aktiv Mouth Wash 300ml,1,496643,8/1/2030,2,33,66,18.5,37,18.5,37,0.15,5.55,42.55
111001288,Lactulose Syrup,2402725,540891,8/1/2030,3,17,51,17,51,12.89,38.68,0,0,38.68
143000072,Ladies Paper Panties  L1,1,461056,8/1/2030,2,16,32,10.24,20.48,10.24,20.48,0.15,3.07,23.55
143000075,Ladies Paper Panties  XL,1,534059,8/1/2030,5,12,60,7.75,38.75,7.75,38.75,0.15,5.81,44.56
143000076,Ladies Paper Panties  XXL,1,548089,8/1/2030,3,12,36,8.5,25.5,8.5,25.5,0.15,3.83,29.33
143000077,Ladies Paper Panties  XXXL,1,509085,8/1/2030,1,12,12,8.5,8.5,8.5,8.5,0.15,1.28,9.78
143000077,Ladies Paper Panties  XXXL,1,548100,8/1/2030,3,12,36,8.5,25.5,8.5,25.5,0.15,3.83,29.33
121006852,Lady Speed Stick 24/7 Fusion  Fusion Roll-On,1,476549,8/1/2030,3,18,54,14,42,14,42,0.15,6.3,48.3
121014561,Lady Speed Stick Cherry Blossom 65g,1,524422,8/1/2030,1,27,27,15,15,15,15,0.15,2.25,17.25
121014561,Lady Speed Stick Cherry Blossom 65g,1,539113,8/1/2030,1,27,27,15,15,15,15,0.15,2.25,17.25
121014561,Lady Speed Stick Cherry Blossom 65g,1,548131,8/1/2030,5,27,135,15,75,15,75,0.15,11.25,86.25
121013976,Lady Speed Stick Fresh & Essence 48h 65g,1,547187,8/1/2030,5,27,135,15,75,15,75,0.15,11.25,86.25
121013976,Lady Speed Stick Fresh & Essence 48h 65g,1,475089,8/1/2030,3,27,81,13.5,40.5,13.5,40.5,0.15,6.08,46.58
121002630,Lady Speed Stick Orchard Blossom,1,524424,8/1/2030,2,27,54,15,30,15,30,0.15,4.5,34.5
121002636,Lady Speed Stick Stick 24/7 Fresh Fusion,1,547185,8/1/2030,6,27,162,15,90,15,90,0.15,13.5,103.5
121002636,Lady Speed Stick Stick 24/7 Fresh Fusion,1,475088,8/1/2030,1,27,27,14,14,14,14,0.15,2.1,16.1
121016434,Lakme Creme Hair Color 60ml,1,447971,8/1/2030,2,20,40,20,40,13,26,0.15,3.9,29.9
121016434,Lakme Creme Hair Color 60ml,1,461742,8/1/2030,30,21.74,652.2,13.91,417.3,13.91,417.3,0.15,62.6,479.9
111001295,Lamifen 1% Cream 15 gm,BC0298,549295,8/1/2030,3,19.5,58.5,19.5,58.5,12.51,37.54,0,0,37.54
111001298,Lamisil 1% 15 gm cream,7P8E,539766,8/1/2030,2,23.15,46.3,23.15,46.3,19.29,38.58,0,0,38.58
111002828,Lantus Solostar 100 I.U./ML 5DPS,3F9405A,540894,8/1/2030,0.6,296.45,177.87,296.45,177.87,269.5,161.7,0,0,161.7
111002828,Lantus Solostar 100 I.U./ML 5DPS,4F9653A,549296,8/1/2030,1,296.45,296.45,296.45,296.45,269.5,269.5,0,0,269.5
151001519,Latex Powder Free Gloves Medium,1,484003,8/1/2030,4,45,180,12.5,50,12.5,50,0,0,50
151001519,Latex Powder Free Gloves Medium,1,471531,8/1/2030,6,45,270,13,78,13,78,0,0,78
111004755,Laxilose Syrup 300ml,17860,530352,8/1/2030,1,18.45,18.45,18.45,18.45,11.83,11.83,0,0,11.83
111004740,Laxocodl 5mg Suppos,5903,538387,8/1/2030,3,7.55,22.65,7.55,22.65,6.29,18.88,0,0,18.88
111003434,Legalon 140mg 100 Cap,8160460,532147,8/1/2030,1,146,146,146,146,126.96,126.96,0,0,126.96
111003434,Legalon 140mg 100 Cap,8160460,502517,8/1/2030,1,146,146,146,146,126.96,126.96,0,0,126.96
111003384,Lejam 60mg 4Tab,2003108,549236,8/1/2030,1,67,67,67,67,41.88,41.88,0,0,41.88
111001321,Levemir Flexpen 5×3ml  (box/5),PTSCY83S1,547532,8/1/2030,1,262.55,262.55,238.68,238.68,238.68,238.68,0,0,238.68
111001323,Levitra 20mg Tabs,BXK0U51,547540,8/1/2030,0.25,93.95,23.49,81.7,20.43,81.7,20.43,0,0,20.43
111003910,Levoflox 500mg 5 Tab,3724309,540895,8/1/2030,1,49.9,49.9,49.9,49.9,24.95,24.95,0,0,24.95
111003212,Levox 500mg 5tab,1968,523981,8/1/2030,2,55.45,110.9,55.45,110.9,33.27,66.55,0,0,66.55
111003239,Levox 750 mg 5p,1970,530617,8/1/2030,1,71.95,71.95,45.05,45.05,45.05,45.05,0,0,45.05
111004155,Levozal Oral Solution,BA0031,540896,8/1/2030,1,28.5,28.5,28.5,28.5,18.29,18.29,0,0,18.29
111003879,Levozin 5mg 20 Tab,f230057,544910,8/1/2030,1,15.95,15.95,7.84,7.84,7.84,7.84,0,0,7.84
111003278,Liblab Syrup 100ml,1152454,543782,8/1/2030,2,38.65,77.3,38.65,77.3,12.88,25.77,0,0,25.77
121002758,Lifeboy Hand wash Total 200ml,1,472780,8/1/2030,1,15,15,9.2,9.2,9.2,9.2,0.15,1.38,10.58
121021765,Lifebuoy Boday Wash Cool Fresh 300ml,1,516036,8/1/2030,1,20,20,13.96,13.96,13.96,13.96,0.15,2.09,16.05
121021766,Lifebuoy Boday Wash Cool Fresh 500ml,1,548196,8/1/2030,3,40,120,25.2,75.6,25.2,75.6,0.15,11.34,86.94
121016673,Lifebuoy Body Wash Matcha Aloe Vera 300ml+kit,1,469025,8/1/2030,2,29,58,20.4,40.8,20.4,40.8,0.15,6.12,46.92
121011399,Lifebuoy Body Wash Mild Care 300ml +Kit 206320,1,496438,8/1/2030,1,29,29,20.4,20.4,20.4,20.4,0.15,3.06,23.46
121010853,Lifebuoy Body Wash Mild Care 500ml 208512,1,548197,8/1/2030,3,40,120,25.2,75.6,25.2,75.6,0.15,11.34,86.94
121009278,Lifebuoy Body Wash Total 500ml 208514,1,548198,8/1/2030,3,40,120,25.2,75.6,25.2,75.6,0.15,11.34,86.94
121010977,LifeBuoy Soap Mild Care 125g,1,472781,8/1/2030,5,7,35,5.65,28.25,5.65,28.25,0.15,4.24,32.49
121010976,LifeBuoy Soap Mild Care 160g,1,464497,8/1/2030,1,9,9,7.1,7.1,7.1,7.1,0.15,1.07,8.17
121010978,LifeBuoy Soap Mild Care 70g,1,547059,8/1/2030,6,5,30,3.28,19.68,3.28,19.68,0.15,2.95,22.63
121010978,LifeBuoy Soap Mild Care 70g,1,533598,8/1/2030,2,5,10,3.28,6.56,3.28,6.56,0.15,0.98,7.54
121010978,LifeBuoy Soap Mild Care 70g,1,505355,8/1/2030,2,5,10,3.1,6.2,3.1,6.2,0.15,0.93,7.13
121002731,LifeBuoy Soap Total 125g,1,524791,8/1/2030,1,7,7,5.65,5.65,5.65,5.65,0.15,0.85,6.5
121002731,LifeBuoy Soap Total 125g,1,547061,8/1/2030,6,7,42,5.65,33.9,5.65,33.9,0.15,5.09,38.99
121002732,LifeBuoy Soap Total 160g,1,510213,8/1/2030,6,9,54,7.1,42.6,7.1,42.6,0.15,6.39,48.99
121007114,Lifebuoy Soap Total 70g,1,547062,8/1/2030,4,5,20,3.28,13.12,3.28,13.12,0.15,1.97,15.09
142000105,Lifree Adult Care Tape Xlarge Pack 4x9,1,505847,8/1/2030,3,36.5,109.5,33,99,33,99,0,0,99
142000105,Lifree Adult Care Tape Xlarge Pack 4x9,1,472325,8/1/2030,1,36.5,36.5,33,33,33,33,0,0,33
142000104,Lifree Adult Diaper Tape X large Jumbo pack 2x18,1,455338,8/1/2030,2,70.25,140.5,61.96,123.92,61.96,123.92,0,0,123.92
142000059,Lifree Culotte Adult Medium Jumbo 2x20 17351,1,524361,8/1/2030,1,81.25,81.25,73.35,73.35,73.35,73.35,0,0,73.35
142000070,Lifree Culotte Jumbo Large 2x16,1,505846,8/1/2030,1,81.25,81.25,71.54,71.54,71.54,71.54,0,0,71.54
142000069,Lifree Culotte Jumbo Medium 2x18 17451,1,525987,8/1/2030,6,81.25,487.5,71.54,429.22,71.54,429.22,0,0,429.22
141000435,Lifree Culotte Large 4x9,1,455368,8/1/2030,2,42,84,37.04,74.09,37.04,74.09,0,0,74.09
142000096,Lifree Culotte Maximum Mega Pack Medieum  2x36,1,533118,8/1/2030,2,153.75,307.5,125.78,251.55,125.78,251.55,0,0,251.55
141000437,Lifree Culotte Medium 4x10 17151,1,533117,8/1/2030,2,42,84,34.37,68.74,34.37,68.74,0,0,68.74
141000437,Lifree Culotte Medium 4x10 17151,1,455369,8/1/2030,1,42,42,37.04,37.04,37.04,37.04,0,0,37.04
142000097,Lifree Culotte Mega Pack 2x36 large,1,500301,8/1/2030,1,153.75,153.75,135.56,135.56,135.56,135.56,0,0,135.56
141000436,Lifree Culotte Small 4x11 17131,1,447038,8/1/2030,2,42,84,38.19,76.38,37.04,74.08,0,0,74.08
141000707,Lifree Culotte Small Jumbo 2x20,1,542389,8/1/2030,1,81.25,81.25,71.54,71.54,71.54,71.54,0,0,71.54
142000098,Lifree Culotte Xl 2x28,1,488598,8/1/2030,1,153.75,153.75,135.56,135.56,135.56,135.56,0,0,135.56
142000112,Lifree Pants Normal Flow XL Size Jumbo 3x16  17362A,1,543270,8/1/2030,2,81.25,162.5,71.54,143.07,71.54,143.07,0,0,143.07
142000064,Lifree Tape Jumbo Large Size 2x24 18271,1,445225,8/1/2030,1,70.25,70.25,63.88,63.88,63.88,63.88,0,0,63.88
142000047,Lifree Tape Large 4x12 17271,1,545415,8/1/2030,4,36.5,146,32.01,128.04,32.01,128.04,0,0,128.04
142000046,Lifree Tape Medium 4x15,1,533120,8/1/2030,2,36.5,73,29.7,59.4,29.7,59.4,0,0,59.4
142000063,Lifree Tape Medium Jumbo Size 2x30 18251,1,500305,8/1/2030,1,70.25,70.25,61.96,61.96,61.96,61.96,0,0,61.96
142000057,Lifree Tape Small 4x18,1,445227,8/1/2030,1,36.5,36.5,33,33,33,33,0,0,33
111001337,Lipanthyl 200mg 30cap,34356,546157,8/1/2030,1,44.55,44.55,44.55,44.55,37.13,37.13,0,0,37.13
111001337,Lipanthyl 200mg 30cap,33694,507889,8/1/2030,1,44.55,44.55,44.55,44.55,37.13,37.13,0,0,37.13
111001342,Lipobase cream 100 gm,23a06a,490305,8/1/2030,3,45,135,45,135,37.5,112.51,0.15,16.88,129.39
111001350,Lisino 10mg 30 tabs,BC0365,540702,8/1/2030,2,27.85,55.7,27.85,55.7,15.55,31.1,0,0,31.1
111001351,Lisino 20mg 30 tabs,BA0151,526717,8/1/2030,1,47.5,47.5,47.5,47.5,28.5,28.5,0,0,28.5
121021933,Listerine Advanced White Mouth Wash 500ml,1,533440,8/1/2030,3,36,108,25.75,77.25,25.75,77.25,0,0,77.25
121014756,Listerine Green Tea Mouth Wash 250ml,1,539145,8/1/2030,2,22,44,12,24,12,24,0,0,24
121022010,Listerine Gum Protect M.W 250ML,1,546715,8/1/2030,3,22,66,12,36,12,36,0,0,36
121014755,Listerine Miswak Mouth Wash 250ml,1,517289,8/1/2030,6,22,132,12,72,12,72,0,0,72
121011571,Listerine Total Care Zero 250ml 56323,1,546717,8/1/2030,2,22,44,12,24,12,24,0,0,24
111001354,Livostin Eye Drops 4ml,2311822,538334,8/1/2030,2,36,72,36,72,28.5,57,0,0,57
111001354,Livostin Eye Drops 4ml,2305772A,513707,8/1/2030,1,36,36,36,36,27.3,27.3,0,0,27.3
111001357,Locoid cream 1mg  30gm,24F22A,547542,8/1/2030,3,11.4,34.2,9.5,28.5,9.5,28.5,0,0,28.5
111001358,Locoid Lipocream 1mg   30 gms,23GN4A,547541,8/1/2030,3,11.4,34.2,9.5,28.5,9.5,28.5,0,0,28.5
111003807,Lodipam 10mg 30tab,18103,530346,8/1/2030,1,45.95,45.95,45.95,45.95,27.35,27.35,0,0,27.35
111003807,Lodipam 10mg 30tab,18281,543895,8/1/2030,3,45.95,137.85,27.35,82.05,27.35,82.05,0,0,82.05
111001363,Logynon 21 tab,WEW8E2,536354,8/1/2030,2,12.1,24.2,12.1,24.2,10.08,20.17,0,0,20.17
111003704,Lohist 10mg 10Tab,2123021,538335,8/1/2030,2,10.4,20.8,10.4,20.8,5.46,10.92,0,0,10.92
111001369,Lopresor 100 mg 20 tab,KKT86,538250,8/1/2030,1,22.1,22.1,22.1,22.1,18.42,18.42,0,0,18.42
111001370,Lopresor 50mg 40tab,kkp76,541327,8/1/2030,1,22.1,22.1,22.1,22.1,18.42,18.42,0,0,18.42
111001373,Loraday 10mg 10 tab,nt180,511913,8/1/2030,2,13,26,13,26,8.34,16.68,0,0,16.68
111001375,Lorahist 100ml syrup,23DE10,536696,8/1/2030,2,11,22,11,22,7.05,14.1,0,0,14.1
121014759,Loreal Casting Gloss 200 Ebony Black,1,544980,8/1/2030,2,41,82,32.49,64.98,32.49,64.98,0.15,9.75,74.73
121015554,Loreal Casting Gloss 300 Dark Brown,1,485600,8/1/2030,2,41,82,33.25,66.5,33.25,66.5,0.15,9.98,76.48
121015554,Loreal Casting Gloss 300 Dark Brown,1,451160,8/1/2030,2,41,82,34,68,34,68,0.15,10.2,78.2
121015554,Loreal Casting Gloss 300 Dark Brown,1,515853,8/1/2030,8,41,328,31.6,252.8,31.6,252.8,0.15,37.92,290.72
121015554,Loreal Casting Gloss 300 Dark Brown,1,457281,8/1/2030,2,41,82,33.25,66.5,33.25,66.5,0.15,9.98,76.48
121012811,Loreal Elnett H.Spray Laque Diamant 75ml,1,528718,8/1/2030,1,21,21,16.25,16.25,16.25,16.25,0.15,2.44,18.69
121012811,Loreal Elnett H.Spray Laque Diamant 75ml,1,533599,8/1/2030,4,21,84,16.25,65,16.25,65,0.15,9.75,74.75
121016842,Loreal Elvive Full Resist Brush Proof Cream 200ml,1,515873,8/1/2030,1,25,25,18.46,18.46,18.46,18.46,0.15,2.77,21.23
121022263,Loreal Elvive Hair Cream Hyaluron 200ml,1,548223,8/1/2030,6,28,168,18.65,111.9,18.65,111.9,0.15,16.79,128.69
121014082,Loreal Excellence Kit 4 Brown Chatain,1,434056,8/1/2030,1,48,48,34.5,34.5,34.5,34.5,0.15,5.18,39.68
121014092,Loreal Excellence Kit 7 Blonde Blond,1,513019,8/1/2030,1,48,48,36.2,36.2,36.2,36.2,0.15,5.43,41.63
121014092,Loreal Excellence Kit 7 Blonde Blond,1,458004,8/1/2030,1,48,48,37.38,37.38,35.41,35.41,0.15,5.31,40.72
121021396,Loreal Eye Cream Hyaluron Expert 15ml,1,515864,8/1/2030,1,42,42,34.85,34.85,34.85,34.85,0.15,5.23,40.08
121021410,Loreal Eye Serum hyaluron Expert 20ml,1,515865,8/1/2030,1,70,70,54.2,54.2,54.2,54.2,0.15,8.13,62.33
121018479,Loreal Hair Gel Studio Line Invisible Hold Normal Strength 6 150ml,1,500510,8/1/2030,1,34,34,29.54,29.54,29.54,29.54,0.15,4.43,33.97
121015557,Loreal Magic Retouch Spray Brown 75ml,1,524758,8/1/2030,1,32,32,24.25,24.25,24.25,24.25,0.15,3.64,27.89
121015557,Loreal Magic Retouch Spray Brown 75ml,1,512427,8/1/2030,1,32,32,24,24,24,24,0.15,3.6,27.6
121015557,Loreal Magic Retouch Spray Brown 75ml,1,464560,8/1/2030,2,32,64,24,48,24,48,0.15,7.2,55.2
121015557,Loreal Magic Retouch Spray Brown 75ml,1,515436,8/1/2030,2,32,64,24,48,24,48,0.15,7.2,55.2
121019430,Loreal Magic Retouch Spray Dark Brown 75ml,1,469029,8/1/2030,4,32,128,24,96,24,96,0.15,14.4,110.4
121012456,Loreal Prodigy EN/AR 7 Almond Kit,333,515869,8/1/2030,1,56,56,43,43,43,43,0.15,6.45,49.45
121012456,Loreal Prodigy EN/AR 7 Almond Kit,1,464931,8/1/2030,3,56,168,43,129,43,129,0.15,19.35,148.35
121016263,Loreal Pure Clay Exfoliating Gel Wash 150ml,1,470082,8/1/2030,1,35,35,23.5,23.5,23.5,23.5,0.15,3.53,27.03
121005885,Loreal Revita Lift Eye Cream 15ml,1,515871,8/1/2030,2,78,156,55.7,111.4,55.7,111.4,0.15,16.71,128.11
121005891,Loreal Revita Lift Night Cream 50ml,1,500729,8/1/2030,1,70,70,55.7,55.7,55.7,55.7,0.15,8.36,64.06
121002806,Loreal Studio Line Pure wet Gel 150ml,1,524793,8/1/2030,3,36,108,29,87,29,87,0.15,13.05,100.05
111001381,Lorinase  Syrup  5/60mg  100ml  p,1155680,545543,8/1/2030,8,22.9,183.2,22.9,183.2,17.18,137.41,0,0,137.41
111004145,Lorinase d 2.5/120mg 20 Tab,1153674,540568,8/1/2030,5,24.6,123,24.6,123,19.48,97.38,0,0,97.38
111001382,Lorine syrup 5mg/5ml 100ml   p,1152107,549297,8/1/2030,1,18.65,18.65,18.65,18.65,11.19,11.19,0,0,11.19
111001383,Lorine tabs 10 mg RMBP 20  p,1150158,547543,8/1/2030,1,17.65,17.65,9.19,9.19,9.19,9.19,0,0,9.19
