Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
121016941,Garnier UD Shampo Purifying Shine 200ml,1,528679,8/1/2030,2,12,24,8,16,8,16,0.15,2.4,18.4
121016943,Garnier UD Shampo Purifying Shine 400ml,1,548127,8/1/2030,6,20,120,11.15,66.9,11.15,66.9,0.15,10.04,76.94
121016943,Garnier UD Shampo Purifying Shine 400ml,1,515761,8/1/2030,3,20,60,12.18,36.54,12.18,36.54,0.15,5.48,42.02
121019977,Garnier Ultra Doux Leave In Cream honey 200ml,1,548208,8/1/2030,4,22,88,16.25,65,16.25,65,0.15,9.75,74.75
121019978,Garnier Ultra Doux Leave In Cream Mythic Olive 200ml,1,524840,8/1/2030,1,22,22,16.25,16.25,16.25,16.25,0.15,2.44,18.69
121022257,Garnier Ultra Doux Shampo Rice Water 200ml,1,548128,8/1/2030,5,12,60,8,40,8,40,0.15,6,46
121022262,Garnier Ultra Doux Shampo Rice Water 600ml,1,548213,8/1/2030,3,24,72,16.06,48.18,16.06,48.18,0.15,7.23,55.41
121018484,Garnier Ultra Doux Shampoo Avocado&Shea Butter 600ML,1,539503,8/1/2030,6,24,144,16.06,96.36,16.06,96.36,0.15,14.45,110.81
111001033,Gasec 20mg 14cap,24044320,541058,8/1/2030,4,27.5,110,27.5,110,19.25,77.01,0,0,77.01
111001035,Gasec 40mg Gastro 14 Cap,231014056,536706,8/1/2030,1,45.1,45.1,45.1,45.1,34.17,34.17,0,0,34.17
111001035,Gasec 40mg Gastro 14 Cap,23101407,541060,8/1/2030,1,45.1,45.1,45.1,45.1,31.57,31.57,0,0,31.57
111001036,Gasec 40mg Gastro 28 Cap,23113402,538207,8/1/2030,2,79.35,158.7,79.35,158.7,57.96,115.92,0,0,115.92
111004553,Gastrozole Plus 20mg 28 Caps,23db93,511809,8/1/2030,1,42.9,42.9,42.9,42.9,26.81,26.81,0,0,26.81
111003020,Gaviscon Advance Pepp Oral Susp 300ml,AEY964,536587,8/1/2030,1,25.35,25.35,25.35,25.35,21.13,21.13,0,0,21.13
121018417,Gaviscon Double Action 32 Tab,AGC490,536282,8/1/2030,2,17.6,35.2,17.6,35.2,14.67,29.34,0,0,29.34
111003924,Gaviscon Double Action Susp 300ml,agc334,518643,8/1/2030,2,20.9,41.8,20.9,41.8,17.42,34.84,0,0,34.84
111003321,Gaviscon Extra 500mg 12Tab,AGL282,538062,8/1/2030,2,9.85,19.7,9.85,19.7,8.21,16.42,0,0,16.42
111001039,Gaviscon Pepp 16 Tab,AGB954,531306,8/1/2030,2,8,16,6.67,13.34,6.67,13.34,0,0,13.34
111001040,Gaviscon Pepp. Liquid Syrup 200ml,agd697,541063,8/1/2030,1,13.65,13.65,13.65,13.65,11.38,11.38,0,0,11.38
111002967,Gaviscon Sa Aniseed 200 ml,AGG659,536707,8/1/2030,1,12.65,12.65,12.65,12.65,10.54,10.54,0,0,10.54
111001041,Gaviscone anise  syrup,aeb877,511833,8/1/2030,2,12.65,25.3,12.65,25.3,10.54,21.09,0,0,21.09
111003012,Gengigel Baby Tube 15ml,2401c11,541320,8/1/2030,2,46,92,46,92,38.33,76.66,0,0,76.66
111003012,Gengigel Baby Tube 15ml,2303C11,528063,8/1/2030,1,46,46,46,46,38.33,38.33,0,0,38.33
111003130,Gengigel Spray 20ml,2302c11,474765,8/1/2030,2,60,120,60,120,50,100.01,0,0,100.01
121020234,Genie Collection 25 Ml,1,458385,8/1/2030,6,17.39,104.34,5.57,33.39,11.13,66.78,0.15,10.02,76.8
111001050,Gentaplex Caps 36  cap / pk,1050523,505961,8/1/2030,1,189,189,189,189,157.78,157.78,0,0,157.78
111001050,Gentaplex Caps 36  cap / pk,1061023,538209,8/1/2030,1,189,189,189,189,149.56,149.56,0,0,149.56
111001050,Gentaplex Caps 36  cap / pk,10502223,511826,8/1/2030,2,189,378,189,378,151.21,302.41,0,0,302.41
121001666,GII Mach 3 Power Blades 2s,9999999999,169911,8/1/2030,1,31,31,24.15,24.15,20.16,20.16,0.15,3.02,23.18
121001667,GII Mach 3 Power Blades 8s,9999999999,199740,8/1/2030,2,78,156,78,156,50.7,101.4,0.15,15.21,116.61
121013817,Gilette Venus Dis 4+1Lbrst 32075,1,501370,8/1/2030,2,31,62,26.83,53.67,26.83,53.67,0.15,8.05,61.72
121020616,Gill Mach3+Blades 3 Pcs,1,533428,8/1/2030,1,65,65,36.4,36.4,36.4,36.4,0.15,5.46,41.86
121020616,Gill Mach3+Blades 3 Pcs,1,504595,8/1/2030,1,48,48,33.93,33.93,33.93,33.93,0.15,5.09,39.02
121017196,Gillette Blue 2 Plus Disp 5 Pcs,1,547406,8/1/2030,5,21,105,14.25,71.25,14.25,71.25,0.15,10.69,81.94
121017196,Gillette Blue 2 Plus Disp 5 Pcs,1,501103,8/1/2030,2,21,42,14.25,28.5,14.25,28.5,0.15,4.28,32.78
121017198,Gillette Blue 3 Comfort 3pcs Card,1,537794,8/1/2030,1,21,21,15.9,15.9,15.9,15.9,0.15,2.39,18.29
121017197,Gillette Blue 3 Comfort 9+3 pcs,1,511480,8/1/2030,1,53,53,42,42,42,42,0.15,6.3,48.3
121009335,Gillette Blue 3 HRDC 32602,1,485535,8/1/2030,14,6,84,3,42,3,42,0.15,6.3,48.3
121016518,Gillette Blue For women 10+5 razor,1,523058,8/1/2030,3,27,81,17,51,17,51,0.15,7.65,58.65
121016518,Gillette Blue For women 10+5 razor,1,509008,8/1/2030,3,27,81,17,51,17,51,0.15,7.65,58.65
121001616,Gillette Blue II Hrdc LH 32028,1,485432,8/1/2030,9,2.5,22.5,1.33,11.97,1.33,11.97,0.15,1.8,13.77
121001613,Gillette blue II L.Handle 10 Pcs  32040,1,515637,8/1/2030,3,35,105,24.2,72.6,24.2,72.6,0.15,10.89,83.49
121001617,Gillette blue II L.Handle 5 Pcs 32039,1,515638,8/1/2030,3,21,63,15,45,15,45,0.15,6.75,51.75
121006539,Gillette Blue II Plus Ultra Gripe 10+4 32514,1,511477,8/1/2030,1,36,36,22,22,22,22,0.15,3.3,25.3
121016042,Gillette Blue II Plus Ultra Gripe 15+5 32305,1,501100,8/1/2030,2,47,94,28.55,57.1,28.55,57.1,0.15,8.57,65.67
121001622,Gillette Blue Plus Ultra Grip 32037,1,547407,8/1/2030,4,16,64,7,28,7,28,0.15,4.2,32.2
121015236,Gillette Blue Simple 3 8+2 Bundle (2x4+1) 32406,1,534574,8/1/2030,1,35,35,28,28,28,28,0.15,4.2,32.2
121001623,Gillette Body Bags 3pcs 32597,1,509009,8/1/2030,11,10,110,6.25,68.75,6.25,68.75,0.15,10.31,79.06
121001659,Gillette Deo Stick Arctic Ice 70ml 32681,1,546790,8/1/2030,4,25,100,13.99,55.96,13.99,55.96,0.15,8.39,64.35
121001566,Gillette Fusion  razor 2up 32215,1,504592,8/1/2030,1,56,56,33.58,33.58,33.58,33.58,0.15,5.04,38.62
121017201,Gillette Fusion Machine +2 blades,1,537811,8/1/2030,1,63,63,41.98,41.98,41.98,41.98,0.15,6.3,48.28
121001652,Gillette Fusion Manual Razor 4up 32217,1,501013,8/1/2030,3,85,255,60.81,182.43,60.81,182.43,0.15,27.36,209.79
121001720,Gillette Fusion Manual Razor 8up 32218,1,467035,8/1/2030,1,130,130,109.4,109.4,109.4,109.4,0.15,16.41,125.81
121001721,Gillette Fusion powder 4s 32222,1,511491,8/1/2030,1,95,95,74.96,74.96,74.96,74.96,0.15,11.24,86.2
121011984,Gillette Fusion Pro Hydration Balm Moist 50ml 32816,1,501714,8/1/2030,2,31,62,23.5,47,23.5,47,0.15,7.05,54.05
121010266,Gillette Fusion Proglide Blades 2s 32082,1,511487,8/1/2030,1,65,65,38.37,38.37,38.37,38.37,0.15,5.76,44.13
121010266,Gillette Fusion Proglide Blades 2s 32082,1,537809,8/1/2030,1,65,65,38.37,38.37,38.37,38.37,0.15,5.76,44.13
121010066,Gillette Fusion Proglide Blades 4s 32083,1,511488,8/1/2030,1,85,85,69.51,69.51,69.51,69.51,0.15,10.43,79.94
121010331,Gillette Fusion Proglide Blades Power 4s 32078,1,504590,8/1/2030,1,120,120,93,93,93,93,0.15,13.95,106.95
121014777,Gillette Fusion Proglide Flexball MNL RA2 32397,1,538902,8/1/2030,1,65,65,43.86,43.86,43.86,43.86,0.15,6.58,50.44
121001722,Gillette Fusion razor power 1up 32252,1,537813,8/1/2030,1,76,76,51.6,51.6,51.6,51.6,0.15,7.74,59.34
121005470,Gillette M3  Power 4,9999999999,180204,8/1/2030,2,59,118,36.4,72.8,33.82,67.65,0.15,10.15,77.8
121001723,Gillette Mach 3 Razor 1UP 32403,1,535614,8/1/2030,1,45,45,30.6,30.6,30.6,30.6,0.15,4.59,35.19
121009680,Gillette Mach 3 Sensitive 8 CT 32367,1,302605,8/1/2030,1,114,114,87.55,87.55,74.15,74.15,0.15,11.12,85.27
121001668,Gillette Mach 3 Turbo 4s 32387,1,511495,8/1/2030,1,70,70,57.25,57.25,57.25,57.25,0.15,8.59,65.84
121001725,Gillette Mach 3 Turbo Blades 2s 32401,1,475586,8/1/2030,1,36,36,23.75,23.75,23.75,23.75,0.15,3.56,27.31
121001671,Gillette Mach3 Baldes 2s 32395,j,449689,8/1/2030,1,32,32,30,30,19.5,19.5,0.15,2.93,22.43
121017311,Gillette Mach3 Turbo Blades 8pcs,1,504594,8/1/2030,1,145,145,102,102,102,102,0.15,15.3,117.3
121021414,Gillette Mach3+Blades 5pcs,1,504596,8/1/2030,1,70,70,51.33,51.33,51.33,51.33,0.15,7.7,59.03
121003027,Gillette Nacet Yellow 96x1 32002,1,517584,8/1/2030,41,2,82,0.72,29.52,0.72,29.52,0.15,4.43,33.95
121008414,Gillette Shave Foam Lemon Lime 200ml 32058,1,515644,8/1/2030,4,14,56,9.4,37.6,9.4,37.6,0.15,5.64,43.24
121004098,Gillette Shave Foam Menthol 200ml 32059,1,515645,8/1/2030,1,14,14,9.4,9.4,9.4,9.4,0.15,1.41,10.81
121001646,Gillette Shave Foam Regular 200ml 32072,1,539159,8/1/2030,1,14,14,8.98,8.98,8.98,8.98,0.15,1.35,10.33
121022101,Gillette Simply Venus 3 Blades 16 Razors Pink,1,539825,8/1/2030,4,61,244,41.32,165.28,41.32,165.28,0.15,24.79,190.07
121017313,Gillette Simply Venus 3 Blades Card 8pcs,1,485778,8/1/2030,4,47,188,26,104,26,104,0.15,15.6,119.6
121019929,Gillette Simply Venus 3 Sensitive Dis 2+1,1,535618,8/1/2030,5,34,170,25.3,126.5,25.3,126.5,0.15,18.98,145.48
121008416,Gillette Simply Venus2 Disposable 4 Razors 32516,1,509010,8/1/2030,3,17,51,10.7,32.1,10.7,32.1,0.15,4.82,36.92
121008416,Gillette Simply Venus2 Disposable 4 Razors 32516,1,496669,8/1/2030,1,17,17,10.7,10.7,10.7,10.7,0.15,1.61,12.31
121008418,Gillette Simply Venus3 Disposable 4 Razors 32108 Lady,1,534231,8/1/2030,6,30,180,22.8,136.8,22.8,136.8,0.15,20.52,157.32
121008417,Gillette Simply Venus3 Plus Disposable 3 Razors 32107,h,449681,8/1/2030,1,30,30,25,25,16.25,16.25,0.15,2.44,18.69
121016427,Gillette Skinguard Sensitive 2razor 32208,1,504597,8/1/2030,1,46,46,34,34,34,34,0.15,5.1,39.1
121017314,Gillette Skinguard Sensitive 4 blades,1,513190,8/1/2030,1,75,75,53.85,53.85,53.85,53.85,0.15,8.08,61.93
121001702,Gillette Ultra Gripe for Womens 5+2 32179,1,473183,8/1/2030,3,16,48,7.9,23.7,7.9,23.7,0.15,3.56,27.26
121020198,Gillette Venus 3 Card 3pcs Colored,1,547408,8/1/2030,6,31,186,20.83,124.98,20.83,124.98,0.15,18.75,143.73
121016426,Gillette Venus 3 Sensitive Disp 3CT 32149,1,515653,8/1/2030,1,26,26,20.34,20.34,20.34,20.34,0.15,3.05,23.39
121017315,Gillette Venus Comfortglide Breeze 4pcs,1,515649,8/1/2030,2,85,170,57.8,115.6,57.8,115.6,0.15,17.34,132.94
121019686,Gillette Venus Comfortglide Spa Breeze Machine+2blades,6565,537798,8/1/2030,1,63,63,41.98,41.98,41.98,41.98,0.15,6.3,48.28
121011413,Gillette Venus Dis 8+4 msr 32074,1,485536,8/1/2030,4,34,136,20,80,20,80,0.15,12,92
121016166,Gillette Venus Dis Pink 8+4 msr 32009,1,469349,8/1/2030,4,50,200,27,108,27,108,0.15,16.2,124.2
121008415,Gillette Venus Riviera 2 Razors 32105,1,485538,8/1/2030,7,28,196,16,112,16,112,0.15,16.8,128.8
121017317,Gillette Venus Sensitive Extra Smooth blades 4pcs,1,451656,8/1/2030,1,84,84,70.25,70.25,70.25,70.25,0.15,10.54,80.79
111001054,Ginexin - F 40 mg,12305,498705,8/1/2030,1,89,89,89,89,65.01,65.01,0.15,9.75,74.76
111004794,Ginko Biloba 30 Tab,eb01-0461,548433,8/1/2030,3,168.5,505.5,168.5,505.5,67.4,202.2,0,0,202.2
111003863,Ginkospan 60 Capsules 60mg SPI,17678,530353,8/1/2030,3,89,267,89,267,51.6,154.79,0,0,154.79
111003863,Ginkospan 60 Capsules 60mg SPI,16951,504030,8/1/2030,2,89,178,89,178,55.72,111.45,0,0,111.45
