Name,Avenzur Code,old names,Barcode Symbology,Brand,Retaj Code
Adol Drops 15 Ml,06291100081394,Adol Drops 15 ml,code128,Adol,6291100081394
Adol Extra Tab,06291100080557,Adol Extra Tab,code128,Adol,6291100080557
Adol Syrup 100 Ml,06291100082377,Adol Syrup 100ml,code128,Adol,6291100082377
Advil Cold Sinus 20 Tab,05415062000045,Advil Cold - Sinus Tabs 20,code128,Advil,111000056
Advil Tab 200 Mg Tab,05415062000052,Advil Tab 200mg Tab,code128,Advil,5415062000052
Aerius 2.5 Mg/5 Ml 150 Ml,06281086002056,Aerius 2.5mg /5ml 150ml,code128,Aerius,6281086002056
Aerius 5Mg 18 Tab,06281086001806,Aerius 5mg tabs 18 tabs,code128,Aerius,111000060
Afle Daily Lences,8800123944494,Afle Daily Lences,code128,Afle,121020726
Agiolax 250 Gm,04030041001793,Agiolax 250 gm,code128,Agiolax,4030041001793
Albothyl Vag Supp,07038319100367,Albothyl Vag  Supp,code128,Albothyl,7038319100367
Alfacort Cream,06291100081059,Alfacort Cream,code128,Alfacort,6291100081059
Allerfin 30 Tab,06251159026067,Allerfin 30 Tab,code128,Allerfin,6251159026067
Ambolar Syrup 100 Ml,111000088,Ambolar Syrup 100ml,code128,Ambolar,6251107072016
Amydramin Ii Suger Free 120 Ml,06291100081868,Amydramin - II Suger Free120ml,code128,Amydramin,6291100081868
Amydramin Exp Adu Syp 120 Ml,06291100082278,Amydramin Exp. Adu.Syp 120ml,code128,Amydramin,6291100082278
Amydramin Ped Syrup 120 Ml,06291100080274,Amydramin Ped.  Syrup 120ml,code128,Amydramin,6291100080274
Anesthesia Contact Lenses,8809612365468,Anesthesia contact lenses,code128,Anesthesia,121018498
Apisal Nasal Spray 15 Ml,6251151000829,Apisal Nasal Spray 15ml,code128,Apisal,6251150000000
Aptamil 1 ( Naktramil) 400 Gm,8718117603114,Aptamil 1 ( Naktramil) 400g,code128,Aptamil,131000005
Arginal 60 Chew Tab,6286127000107,Arginal 60Chew Tab,code128,Arginal,111004382
Artelac Advanced Eye Drops,4030571004066,Artelac Advanced  Eye Drop,code128,Artelac,6297000720180
Artelac Advanced Eye Drops,06297000720180,Artelac Advanced  Eye Drop,code128,Artelac,6297000720180
Artelac Night Time Gel 2Mg,06297000720258,Artelac Nigh Time Gel 2mg,code128,Artelac,6297000720258
Contour Next Microfill Strips 50S,5016003729607,Ascensia Contour Next Microfill Strips 50s,code128,Contour,121013824
Aspicard 81 Mg 120 Tab,06285147014590,Aspicard 81mg 120 S,code128,Aspicard,6285147014590
Aspirin Protect 100 Mg 60 Tab,06285074001113,Aspirin Protect 100mg 60Tab,code128,Aspirin,6285074001113
Avalon Alpha Plus Cream 30 Gm,6285095006579,Avalon Alpha Plus Cream 30g,code128,Avalon,121010606
Avalon Avoban Cream 30 Gm,06285095010347,Avalon Avoban Cream 30 Gm,code128,Avalon,6285095010347
Avalon Avocaine 10% Spray 50 Ml,06285095004643,Avalon Avocaine 10% Spray 50ml,code128,Avalon,6285095004643
Avalon Avocom 0 1% Cream 30 Gm,06285095004636,Avalon Avocom 0.1% Cream 30g,code128,Avalon,111000226
Avalon Avocom 0 1% Ointment 30 Gm,06285095004605,Avalon Avocom 0.1% Ointment 30g,code128,Avalon,111000227
Avalon Avocom Aqueous Nasal Spray 120 Metered,06285095005374,Avalon Avocom Aqueous Nasal Spray 120 Metered,code128,Avalon,6285095005374
Avalon Avocom M Cream 30 Gm,101000001,Avalon Avocom M Cream 30g,code128,Avalon,6285095004698
Avalon Avomeb Extra Ointment 15 Gm,06285095010415,Avalon Avomeb Extra Ointment 15gm,code128,Avalon,111004315
Avalon Avomeb Extra Ointment 30 Gm,06285095010422,Avalon Avomeb Extra Ointment 30gm,code128,Avalon,111004316
Avalon Clovirax Cream 2 Gm,06285095006388,Avalon Clovirax Cream 2gm,code128,Avalon,6285095006388
Avalon Salinose Baby Nasal Drops 20 Ml,06285095000089,Avalon Salinose Baby Nasal Drops 20ml,code128,Avalon,6285095000089
Avene Cleanance Gel Soapless Cleanser 200 Ml,3282770139204,Avene Cleanance Gel Soapless Cleanser 200ml,code128,Avene,121017781
Avene Emulsion Antiredness Light Cream 40 Ml,3282770203523,Avene Emulsion Antiredness Light Cream 40ml,code128,Avene,121018793
Avene Thermal Spring Water 300 Ml,3282779003131,Avene Thermal Spring Water 300m,code128,Avene,121011498
Philips Avent 673-17 Nat Feeding Glass 240 Ml,8710103876236,Avent 673/17 Nat Feeding Glass 240ml,code128,Philips,121012563
Philips Avent 813-62 Anti Colic 2X260 Ml,8710103868453,Avent 813/62 Anti Colic 2x260ml,code128,Philips,121017779
Philips Avent Soother 0-6 M Ultra Air Night Boys 376 11,8710103905783,Avent Soother 0-6 m Ultra air Night Boys 376/11,code128,Philips,121018761
Philips Avent Soother Ultra Night 0-6 M Girls 2Pcs 376 12,8710103905806,Avent Soother Ultra Night 0-6m Girls 2pcs 376/12,code128,Philips,121019061
Azera 100 Mg 90 Tab,06251653750000,AZERA 100mg 90tab,code128,Azera,6251653750000
Babyjoy Culotte Unisex Saving Large 6X11 No 4,6281008043334,Baby Joy Culotte Unisex Saving Large 6x11 No.4,code128,BabyJoy,121013897
Bambi Fresh Cl 56 3Px4 2+1 603P12,5281001941973,Bambi Fresh Cl 56 3px4 2+1 603P12,code128,Bambi,121020779
Bambi Mega Clean 40 3P X4 2+1 Free 4003P12,5281001941874,Bambi Mega Clean 40 3P X4 2+1 Free 4003p12,code128,Bambi,141000824
Braun Ear Thermometer Germany (Sumall),4022167230300,Barak Braun Ear Thermometer Germany (Sumall),code128,Braun,121008030
Basix Xtreme Pump Blue Razz Rush 315 Gm,5060686530623,Basix Xtreme Pump Blue Razz Rush 315g,code128,Basix,121020911
Basix Xtreme Pump Candy Crush 315 Gm,5060686530647,Basix Xtreme Pump Candy Crush 315g,code128,Basix,5060690000000
Sensilab Beauty Hair Nails Gummy 60 Gummies,3830060726865,Beauty Hair Nails Gummies 60 gummy,code128,Sensilab,111004398
Bepanthen Cream 5% 30 Gm,06285074000857,Bepanthen cream 5% 30gm,code128,Bepanthen,6285074000857
Betaderm 20 Mg Cream,06221032240262,Betaderm 20 mg Cream,code128,Betaderm,6221032240262
Betaderm 20 Mg Oint,06221032240590,Betaderm 20 mg Oint,code128,Betaderm,6221032240590
Betasone Oint,06291100080458,Betasone oint,code128,Betasone,6291100080458
Betazol Cream 30 Gm,06285128000215,Betazol Cream 30 gm,code128,Betazol,6285128000215
Betnovate Ointment,06285097001886,Betnovate Ointment,code128,Betnovate,6285097000209
Betnovate Scalp Application 30 Ml,06285097001893,Betnovate scalp application,code128,Betnovate,111000317
Beurer Massage Wellbeing Mg 40,4211125648978,Beurer Massage Wellbeing Mg40,code128,Beurer,151001776
Isdin Bexident Gengivas Gums 500 Ml,8429420184848,Bexident Gengivas Gums 500ml,code128,ISDIN,8429420000000
Bigen Men Speedy Color Black # 101,4987205937019,Bigen men speedy color black # 101,code128,Bigen,121000297
Bigen Speedy Hc Cond B Black 882,4987205000140,Bigen speedy h.c cond b. Black - 882,code128,Bigen,121000300
Bigen Speedy Hc Cond N Black 881,4987205000126,Bigen speedy h.c cond N. Black - 881,code128,Bigen,121000302
Bioderma Atoderm Ultra Nourishing Cream 500 Ml,3701129805343,Bioderma Atoderm Ultra Nourishing Cream 500ml,code128,Bioderma,121017516
Bioderma Sebium Gel Moussant 500 Ml,3401399277092,Bioderma Sebium Gel Moussant 500ml,code128,Bioderma,121017524
Bioderma Sebium H2O Make Up Removal Solution 250 Ml,3401575390447,Bioderma Sebium H2o Make Up Removal Solution 250ml,code128,Bioderma,121017526
Bioderma Sensibo H2O Make Up Removal 500 Ml,3401345935571,Bioderma Sensibo H2o Make UP removal 500ml,code128,Bioderma,121017527
Bio Oil Skincare Natural 60 Ml,121018630,Bio-Oil Skincare Natural 60ml,code128,Bio Oil,6001159127352
