Name,Avenzur Code,old names,Barcode Symbology,Brand,Retaj Code
Dilanyl Syrup 100 Ml,06285085000389,Dilanyl Syrup 100ml,code128,Dilanyl,6285085000389
Diprosone Cream 30 Gm,00366582500247,Diprosone Cream 30g,code128,Diprosone,111002545
Divido 75 Mg 20 cap,06285147000920,Divido 75 mg 20 Capsuls,code128,Divido,6285147000920
Dizinil 50 Mg 20 Tab,06291100086306,Dizinil 50mg 20tab,code128,Dizinil,6291100086306
Dolvic K 50 Mg 20 Tab,06251106210440,Dolvic K 50mg 20tab,code128,Dolvic,26285157000105
Dompy 10 Mg 30 Tab,06285128000307,Dompy 10 mg 30 tab,code128,Dompy,6285128000307
Dompy Oral Susp 200 Ml,06285128000314,Dompy oral susp. 200 ml,code128,Dompy,6285128000314
Dorofen 500 90 Cap,111003880,Dorofen 500/50 90 caps,code128,Dorofen,610644193114
Dr Brush Dental Wax,80852570029,Dr.Brush Dental Wax,code128,Dr Brush,121019909
Dream Water Sleep And Relaxation Shot Snoozberry 74 Ml,857430002056,Dream Water Sleep And Relaxation Shot Snoozberry 74ml,code128,Dream Water,111004213
Ducray Neoptide Femme 3X30 Ml,382770145977,Ducray Neoptide Femme 3x30ml,code128,Ducray,121019590
Ducray Nutricerat Mask 150 Ml,3282770209853,Ducray Nutricerat Mask 150ml,code128,Ducray,3282770000000
Ducray Nutricerate Shampo 200 Ml,3828770111378,Ducray Nutricerate Shampo 200ml,code128,Ducray,121019588
Dulcolax 5 Mg 40 Tab,03664798044249,Dulcolax 5mg 40 Tab,code128,Dulcolax,3664798044249
Duphalac Oral Solution 300 Ml,08002660016409,Duphalac Oral Solution300 ml,code128,Duphalac,8002660034281
Durex Condom Extra Safe 20 Pcs,6295120030752,Durex Condom Extra Safe 20pcs,code128,Durex,121017300
Durex Condom Intense Pleasure 12 Pcs,5038483447840,Durex Condom Intense Pleasure 12pcs,code128,Durex,121015629
Durex Condom Naughty Chocolate 12 Pcs,5052197056662,Durex Condom naughty chocolate 12s,code128,Durex,121016350
Durex Condom Pleasuremax Warming 12 Pcs,5038483580325,Durex Condom Pleasuremax Warming 12p,code128,Durex,142000018
Durex Extended Pleasure 20 Pcs,6295120030745,Durex Extended Pleasure 20 condoms,code128,Durex,121016545
Durex Play 2In1 Sensuel Massage 200 Ml,6295120046203,Durex Play 2in1 Sensuel Massage 200ml,code128,Durex,121009196
Durex Play Feel 50 Ml,6295120046159,Durex Play Feel 50ml,code128,Durex,121005959
Durex Play Tingle Pump 50 Ml,6295120046197,Durex Play Tingle Pump 50ml,code128,Durex,142000026
Durex Silicone Lubrant Maxima 50 Ml,6295120049631,Durex Silicone Lubrant Maxima 50ml,code128,Durex,121019798
Duspatalin 200 Mg 30 Cap,08002660016317,Duspatalin 200mg  30 Cap,code128,Duspatalin,8002660016317
Elica M Cream 30 Gm,06285128000352,Elica - M - Cream 30 gm,code128,Elica,6285128000352
Elica 0.1% Cream 30 Gm,06285128000338,Elica 0.1% Cream 30 Gm,code128,Elica,6285128000338
Elica 1% Oint 30 Gm,06285128000345,Elica 1% Oint. 30 gm,code128,Elica,6285128000345
Elicasal Oint 30 Gm,06285128000369,Elicasal Oint. 30 gm,code128,Elicasal,6285128001731
Elocom 0.1% Cream 30 Gm,00366582505549,Elocom 0.1% cream 30gm/tube,code128,Elocom,111000819
Emifenac 50 Mg Tab,062911037304590,Emifenac 50mg tab,code128,Emifenac,6291103730459
Enterogermina Oral Susp 10X5Ml Box,111004241,Enterogermina Oral Susp 10x5ml Box,code128,Enterogermina,3582910032373
Epicogel Susp,06221032220868,Epicogel  Susp.,code128,Epicogel,6221032220868
Epimag Eff Gran,06221032160423,Epimag / Eff Gran,code128,Epimag,6221032160423
Erecta 100 Mg 4 tab,06285128001021,Erecta 100mg F.C ATab,code128,Erecta,6285128001021
Erecta 50 Mg 4 Tab,06285128001038,Erecta 50mg 4Tab,code128,Erecta,6285128002462
Essential D3 5000 Iu 60 Caps,111004044,Essential D 5000 IU 60 Caps,code128,Essential,766961306505
Essential D3 50000 Iu 12 Caps,00766961411797,Essential d3 50000 iu  12 caps,code128,Essential,766961306529
Eucerin Hyaluron Filler Day Cream Spf 15 50 Ml,4005800025358,Eucerin Hyaluron Filler Day Cream Spf 15 50ml,code128,Eucerin,121018788
Eucerin Intensive Hand Cream 5% Urea,4005800168642,Eucerin Intensive Hand Cream 5% urea,code128,Eucerin,121018201
Eucerin Itch Relief Intensive Calming Lotion 250 Ml,072140026578,Eucerin Itch Relief Intensive Calming Lotion 250Ml,code128,Eucerin,72140026578
Eucerin Original Healing Cream 454 Gm,072140000219,Eucerin Original Healing Cream 454G,code128,Eucerin,72140000219
Eucerin Roughness Relief Cream 454 Gm,072140025649,Eucerin Roughness Relief Cream 454G,code128,Eucerin,121021049
Eucerin Roughness Relief Lotion 500 Ml,072140024611,Eucerin Roughness Relief Lotion 500Ml,code128,Eucerin,72140024611
Evit 400 Mg 30 Cap,06285104000116,Evit 400mg 30Cap,code128,Evit,6285104000116
Exylin Syrup 14 Mg 100 Ml ,06281086010174,Exylin syrup 14mg/5ml 100ml p,code128,Exylin,6281086010174
Exylin Syrup Ped 7 Mg 100 Ml,06281086010563,Exylin Syrup Ped. 7mg/5ml 100ml,code128,Exylin,6281086010563
Ezilax Syrup 300 Ml,06285147800230,Ezilax Syrup 300  ml,code128,Ezilax,6285147800230
Ezipan 100 Ml Srup,06291103730459,Ezipan 100ml Srup,code128,Ezipan,6285147800247
Ezolvin 4Mg/5Mg Syrup,06285085000327,Ezolvin 4mg/5mg syrup,code128,Ezolvin,6285085000327
Fallah 100 Mg 4 Tab,06285101001673,Fallah 100mg 4 Tab,code128,Fallah,6285101001673
Farcolin Solution,06221151000891,Farcolin Solution,code128,Farcolin,6221151000891
Fast Flam 50 Mg 20 Tab,06285128000376,Fast-Flam 50mg 20 tab,code128,Fast Flam,6285128000376
Fastum Gel 50 Gm,08058773460073,Fastum 50gm gel,code128,Fastum,8058773460073
Fawar Fruit Eff Salt 6 Sach,06223000010365,Fawar Fruit Eff Salt 6sx6,code128,Fawar,6223000010365
Fawar Lemon Eff,06223000010433,Fawar Lemon Eff,code128,Fawar,6223000010433
Fem Hair Removel Cream Tupe Lemon 120 Gm,8901103019048,Fem Hair Removel Cream Tupe-Lemon 120g,code128,Fem,121013983
Femfresh Powder 200 Gm,5000167014174,Femfresh Powder 200G,code128,Femfresh,121006914
Fenadex 120 Mg 15 Tab,06251154050012,Fenadex 120mg 15 tab,code128,Fenadex,6251154050012
Fenadex 180 Mg 15 Tab,111004512,Fenadex 180mg 15 Tab,code128,Fenadex,6251154211017
Feromin 190 Mg 30 Tab,06281080002953,Feromin 190mg 30 tablets,code128,Feromin,6281080002953
Ferose 100 Mg 30 Tab,06281086000540,Ferose 100mg  30tab,code128,Ferose,6281086000540
Ferose F 100% 35Mg 30 Tab,06281086001172,Ferose -F 100%.35mg 30Tab,code128,Ferose,6281086001172
Ferose Syp 50 Mg 5Ml 100 Ml,06281086000502,Ferose Syp 50mg/5ml  100ml,code128,Ferose,6281086000502
Ferro Fol Cap,06221032131973,Ferro Fol Cap,code128,Ferro,6221032131973
Fevadol Sf Syrup 145 Ml,111000932,Fevadol  SF.  Syrup 145ml,code128,Fevadol,6281086010938
Fevadol 100 Mg 10 Supp,06281086010839,Fevadol 100mg suppos,code128,Fevadol,6281086000830
Fevadol 500 Mg 20 Tab,06281086000427,Fevadol 500mg 20tab,code128,Fevadol,6281086010099
Fevadol Extra 20 Tab,06281086010921,Fevadol Extra 20tab,code128,Fevadol,6281086010921
Fevadol Plus 20 Tab,06281086010532,Fevadol Plus 20tab,code128,Fevadol,6281086010532
Fexodine 120 Mg 14 Tab,06285147001194,Fexodine 120mg   14  s,code128,Fexodine,6285147001194
Fexodine 180 Mg 14 Tab,06285147001200,Fexodine 180 mg   14   s,code128,Fexodine,6285147001200
Filorga Ncef Intensive Supreme Multi Correction Serum 30 Ml,3401360192249,Filorga NCEF-INTENSIVE Supreme Multi-Correction Serum 30ml,code128,Filorga,121022149
Flamazin Cream 50 Gm,06281080011177,Flamazin 50gm cream,code128,Flamazin,6281080011177
Flector Ep Tissue Gel 1Gm Patches (5 Patches),07612291010656,Flector EP Tissue Gel 1gm Patches (5 Patches),code128,Flector,7612291010656
Fludrex 24 Tab,06285085001560,Fludrex 24 tablet,code128,Fludrex,6285085001560
Fludrex Syrup 120 Ml,06285085000372,Fludrex syrup 120ml,code128,Fludrex,6285085000372
Flutab Sinus Tab 500 30 Mg 20 Tab,06281086011010,Flutab Sinus Tabs 500/30 mg 20P,code128,Flutab,6281086001011
Flutab 500 Mg 20 Tab,06281086001004,Flutab tabs 500 /30/25gm p,code128,Flutab,6281086001004
Folic Acid 1 Mg 20 Tab,06281080011252,Folic acid 1mg 20tab,code128,Folic,6281080011252
Folic Acid 5 Mg 20 Tab,06281080011276,Folic acid 5mg 20 tab,code128,Folic,6281080011276
Freestyle Optium Plus 50 Strip,5021791706945,Freestyle Optium Plus Strps 50,code128,FreeStyle,121003407
Fucidin H Cream 30 Gm,05702191010619,Fucidin - H Cream 30g,code128,Fucidin,5702191010619
Garnier Micellar Cleansing Water 400 Ml,3600541729711,Gariner Micellar Cleansing Water 400ml,code128,Garnier,121014506
Garnier Nat H Color 5 Light Brown,3061375781069,Garnier Nat. H. Color-5 Light Brown,code128,Garnier,121001580
Gasec 20 Mg 14C ap,07640153088888,Gasec 20mg 14cap,code128,Gasec,7640153080158
Gasec 20 Mg 28 Cap,07640153088024,Gasec 20mg 28cap,code128,Gasec,7640153080172
Gasec 40 Mg Gastro 14 Cap,07640153088031,Gasec 40mg Gastro 14 Cap,code128,Gasec,7640153080226
Gasec 40 Mg Gastro 28 Cap,07640153088048,Gasec 40mg Gastro 28 Cap,code128,Gasec,7640153080233
Gasec 40 Mg Gastro 28 Cap,07640153088918,Gasec 40mg Gastro 28 Cap,code128,Gasec,7640153080233
Gaviscon Advance Pepp Oral Susp 300 Ml,05000158068414,Gaviscon Advance Pepp Oral Susp 300ml,code128,Gaviscon,5000158068414
Gaviscon Double Action Susp 300 Ml,06295120040225,Gaviscon Double Action Susp 300ml,code128,Gaviscon,6295120040225
Gaviscon Extra 500 Mg 12 Tab,05000158068957,Gaviscon Extra 500mg 12Tab,code128,Gaviscon,5000158068957
Gaviscon Pepp 16 Tab,05000158066960,Gaviscon Pepp 16 Tab,code128,Gaviscon,5000158066960
Gaviscon Pepp Liquid Syrup 200 Ml,05000158065734,Gaviscon Pepp. Liquid Syrup 200ml,code128,Gaviscon,5000158065734
Geratherm Bp Desktop Monitor,4018674405034,Geratherm BP Desktop Monitor,code128,Geratherm,151000530
Gillette Fusion H+5 Mea 32922,7702018609888,Gill Fusion H+5 Mea 32922,code128,Gillette,121018936
Gillette Blue 2 Plus Disp 5 Pcs,3014260283254,Gillette Blue 2 Plus Disp 5 Pcs,code128,Gillette,121017196
Gillette Blue Ii Plus Ultra Gripe 10+4 Pcs 32514,7702018466979,Gillette Blue II Plus Ultra Gripe 10+4 32514,code128,Gillette,121006539
Gillette Fusion Machine +2 Blades,7702018866946,Gillette Fusion Machine +2 blades,code128,Gillette,121017201
Gillette Fusion Proglide Power Razor 1Up 32076,7702018390625,Gillette Fusion Proglide Power Razor 1UP 32076,code128,Gillette,121010065
Gillette King C Shave Eding Razor,7702018544585,Gillette King c Shave Eding Razor,code128,Gillette,121018302
Gillette Mach 3 Turbo Razor 2 Up 32389,7702018020942,Gillette Mach 3 Turbo Razor 2up 32389,code128,Gillette,121001669
Gillette Pro Sensitive Deep Comfort Shave Gel 200 Ml 32155,7702018581931,Gillette Pro Sensitive Deep Comfort Shave Gel 200ml 32155,code128,Gillette,121019215
Gillette Pro Shaving Foam Icy Cool 200 Ml,8001090937957,Gillette Pro Shaving Foam Icy Cool 200ml,code128,Gillette,121019636
Gillette Pro Shaving Gel Icy Cool 200 Ml,7702018582150,Gillette Pro Shaving Gel Icy Cool 200ml,code128,Gillette,121019638
Gillette Proglide 5 Razor 2 Up Manual 32327,7702018390656,Gillette Proglide 5 Razor 2 up Manual 32327,code128,Gillette,121019217
Gillette Skinguard Sensitive Skin Razor 2 Up,7702018500062,Gillette Skinguard Sensitive Skin Razor 2up,code128,Gillette,121016424
Gillette Venus 3 Card 3 Pcs Colored,7702018018116,Gillette Venus 3 Card 3pcs Colored,code128,Gillette,121020198
Gillette Venus Comfortglide Coconut 5 Blades 2+1,7702018587230,Gillette Venus Comfortglide Coconut 5Blades 2+1,code128,Gillette,121020918
Gillette Venus Deluxe Smooth Sensitive Razor 2 Up,7702018587292,Gillette Venus Deluxe Smooth Sensitive Razor 2up,code128,Gillette,121019060
Gillette Venus Dis 8+4 Msr 32074,7702018069286,Gillette Venus Dis 8+4 msr 32074,code128,Gillette,121011413
Gillette Venus Riviera 2 Razors 32105,7702018016808,Gillette Venus Riviera 2 Razors 32105,code128,Gillette,121008415
Gillette Venus Sensitive Extra Smooth Blades 4 Pcs,7702018401178,Gillette Venus Sensitive Extra Smooth blades 4pcs,code128,Gillette,121017317
Gillette Venus Smooth Machine 2 Blades,3014260285425,Gillette Venus Smooth Machine 2 Blades,code128,Gillette,121017318
Gillette Venus Smooth Sensitive 3Blades Razor 2 Up,7702018567461,Gillette Venus Smooth Sensitive 3blades Razor 2up,code128,Gillette,121019642
Grein Luxury Handy Massager Machine,984769321142,Grein Luxury Handy Massager Machine,code128,Grein,151001777
Helenvita Anti Wrinkle Eye Cream 15 Ml,5213000524482,Helenvita Anti Wrinkle Eye Cream,code128,Helenvita,121021022
Helenvita Anti Wrinkle Night Cream 50 Ml,5213000524413,Helenvita Anti Wrinkle Night Cream,code128,Helenvita,121021028
Helenvita Cleansing Milk 200 Ml,5213000524499,Helenvita Cleansing Milk 200ml,code128,Helenvita,5213000000000
Helenvita Hydration Serum Face 30 Ml,5213000524468,Helenvita Hydration Serum Face 30ml,code128,Helenvita,121021016
Herbalcolor 6C Ash Medium Blond 135 Ml,600122662485,Herbalcolor 6C ASH Medium Blond 135ml,code128,Herbalcolor,121014960
Herox 20 Mg 1 Tab,06285147001514,Herox 20mg 1 Tab,code128,Herox,6285147001514
Herox 20 Mg 4 Tab,06285147001507,Herox 20mg 4 Tab,code128,Herox,6285147001514
Herox 5 Mg 30 Tab,06285147001538,Herox 5mg 30 Tab,code128,Herox,6285147001538
Hi Quine 2% Cream,06285128000475,Hi-Quin 2% Cream,code128,Hi Quine,111003195
Histop Syrup 100 Ml,06281086000182,Histop 100ml syrup,code128,Histop,6281086000182
Histop 20 Tab,06281086000236,Histop 20tab,code128,Histop,6281086010235
Hot Perfect Busty Booster Cream 100 Ml,4042342006629,Hot Perfect Busty Booster Cream 100Ml,code128,Hot,121019236
Hyfresh 2 Mg Opthalmic Sol 10 Ml,06285128000499,Hyfresh 2mg/ml opthalmic sol 10ml/bt.,code128,Hyfresh,6285128000499
I Profen 400 Mg 30 Tab,06285085000907,I- Profen 400mg 30 tab,code128,I Profen,6285085000907
Imodium 2 Mg 6 Cap,03574661382470,Imodium 2mg 6Caps,code128,Imodium,3574661382470
Imodium Instants 2 Mg 12 Cap,03574661089584,Imodium Instants 2mg 12 cap,code128,Imodium,3574661089584
Ghalior Paris Insta Mascara (Org) 400136,3701340400136,INsta Mascara (org) 400136,code128,Ghalior Paris,121019395
Isdin Deo Roll Ureadin 50 Ml,121020721,Isdin Deo Roll Ureadin 50ml,code128,ISDIN,8470002104433
Jamieson Calcium 500 Mg + Vitamin D3 1000 90 Tab,064642079077,Jamieson Calcium 500mg+vitamin d3 1000,code128,Jamieson,111003875
Jamieson Cod Liver Oil 100 Caps,064642073914,Jamieson Cod Liver Oil 100 caps,code128,Jamieson,111004004
Jamieson Cranberry Caps 60 Caps,064642091802,Jamieson Cranberry Caps 60 Caps,code128,Jamieson,111004006
Jamieson Flushield 20 Soft Gels,064642077233,Jamieson Flushield 20 Softgels,code128,Jamieson,111004007
Jamieson Green Tea Plus Acv 90 Caps,064642077196,Jamieson Green Tea Plus Acv 90 caps,code128,Jamieson,111004011
Jamieson Laxaco 60 Caps,064642025883,Jamieson Laxaco 60 caps,code128,Jamieson,111004005
Jamieson Potassium Tab 60 Tab,064642092397,Jamieson Potassium Tablet 60 tab,code128,Jamieson,111004040
Jamieson Q10 Ubiquinone 30Caps,064642079336,Jamieson Q10 Ubiquinone 30caps,code128,Jamieson,111004009
Jamieson Selenium 50 Mg 100 Tab,064642073969,Jamieson Selenium 50mg 100 Tab,code128,Jamieson,111003872
Jp Melatonin 5 Mg 100 Tab,06285128014779,Jp Melatonin 5mg 100 tab,code128,Jp,6285128014779
Jp Vitamin D3 1000 Iu,111003399,JP Vitamin D3 1000 IU,code128,Jp,6285128002028
Kapect Susp 120 Ml,06221032221308,Kapect  Susp120ml,code128,Kapect,6221032221308
Kiss Impress Color Nails Kimc001C,731509837407,Kiss Impress Color Nails Kimc001c,code128,Kiss,121020651
Koleston Kit 3/0 Dark Brown,4056800006731,Koleston Kit  3/0 Dark Brown,code128,Koleston,121002526
Koleston Kit 6/7 Chocolate Brown,4056800030194,Koleston Kit 6/7 Chocolate Brown,code128,Koleston,121002546
Kooln Soothe Migraine Fever R114,4987072029398,Kooln Soothe Migraine Fever R114,code128,Kooln Soothe,121019786
Kotex Liners Cotton Normal 16X30 Pads,6281002431489,Kotex Liners Cotton Normal 16x30,code128,Kotex,143000349
Marnys L-Carnitine 2000 Mg Liquid 20*11 Ml,8410885084095,L - Carnitine 2000mg Liquid 20*11ml,code128,Marnys,111004028
La Roche Posay Anthelios Gel Cream Spf50 + 50 Ml,3337875546430,La Roche - Posay Anthelios Gel Cream spf50 + 50ml,code128,La Roche Posay,121020774
La Roche Posay Effaclar Corrector 15 Ml,3337875609593,La Roche Poasay Effaclar Corrector 15ml,code128,La Roche Posay,121021344
La Roche Posay Anthelios Face Mist Spf 75 Ml,3337875549530,La Roche Posay Anthelios Face Mist Spf 75ml,code128,La Roche Posay,121019754
La Roche Posay Anthelios Uv Mune 400 Invisble Fluid 50 Ml,3337875797597,La Roche Posay Anthelios Uv Mune 400 invisble Fluid 50ml,code128,La Roche Posay,121019756
La Roche Posay Effaclar Duo Cream 40Nl Anti Recurrence,3337875598071,La Roche Posay Effaclar Duo Cream 40nl anti Recurrence,code128,La Roche Posay,121019143
La Roche Posay Effaclar Duo Spf 30 Cream 40 Ml,3337875750042,La Roche Posay Effaclar Duo Spf 30 Cream 40nl,code128,La Roche Posay,121019144
La Roche Posay Effaclar Face Gel Wash Micro Peeling 200 Ml,3337875708265,La Roche Posay Effaclar Face Gel Wash Micro Peeling 200ml,code128,La Roche Posay,3337880000000
La Roche Posay Effaclar Gel Moussant Foaming 200 Ml,3337872411083,La roche Posay Effaclar Gel Moussant Foaming 200ml,code128,La Roche Posay,121019806
La Roche Posay Effaclar Serum 30 Ml,3337875722827,La Roche Posay Effaclar Serum 30ml,code128,La Roche Posay,121020812
La Roche Posay Hyalu B5 Serum 30 Ml,3337875583626,LA ROCHE POSAY HYALU B5 SERUM 30ML,code128,La Roche Posay,121022251
La Roche Posay Pigmentclar Eye Cream Dark Circle 15 Ml,3337872414152,La Roche Posay Pigmentclar Eye Cream Dark Circle 15ml,code128,La Roche Posay,121019155
La Roche Posay Retinol B3 Serum 30 Ml,3337875694469,La Roche Posay Retinol B3 Serum 30ml,code128,La Roche Posay,121020674
Lamisil 1%  15 Gm Cream,07630035400259,Lamisil 1 gm cream,code128,Lamisil,7630035400259
Lamisil 1% Spray 30 Ml,07630035400099,Lamisil 1% spray 30 ml,code128,Lamisil,7630035400099
Laperva Milk Choco Nosugar Bar 85 G,5402860346178,Laperva Milk Choco Nosugar Bar 85g,code128,Laperva,121020673
Laperva Protein Bons 40 G,121020921,Laperva Protein Bons 40g,code128,Laperva,5601055323257
Laperva Protein Chocolate Cookies 100 Gm,5412860347150,Laperva Protein Chocolate Cookies 100gm,code128,Laperva,121020670
Laperva Vitamin C+Zinc 100 Mg 20 Tab,4002860346119,Laperva Vitamin C+Zinc 100mg 20 Tab,code128,Laperva,4002860000000
La Roche Posay Effaclar Purifying Foaming Gel 400 Ml,3337872411991,Laroche Posay Effaclar Purifying Foaming Gel 400ml,code128,La Roche Posay,121019462
Lee Stafford Bleach Blondes Conditioner 250 Ml,895024002341,Lee Stafford Bleach Blondes Conditioner 250ml,code128,Lee Stafford,121020835
Lee Stafford Bleach Blondes Shampoo 250,895024002334,Lee Stafford Bleach Blondes Shampoo 250,code128,Lee Stafford,121020834
Lee Stafford Cocol Oco Shampo 250 Ml,886011001355,Lee Stafford Cocol Oco Shampo 250ml,code128,Lee Stafford,121019741
Lejam 30 Mg 4 Tab,06281086002896,Lejam 30g 4Tab,code128,Lejam,6281086002896
Lejam 60 Mg 4 Tab,06281086012901,Lejam 60mg 4Tab,code128,Lejam,6281086012901
Lense Me Eye Lences,8809426813964,Lense Me Eye lences,code128,Lense Me,121017616
Levozal 5Mg 20 Tab,06285128001007,Levozal 5mg 20 Tab,code128,Levozal,6285128006316
Levozin 5 Mg 20 Tab,06285094000691,Levozin 5mg 20 Tab,code128,Levozin,6285094000691
Liblab Syrup 100 Ml,06281086240328,Liblab Syrup 100ml,code128,Liblab,6281086240328
Lifebuoy Body Wash Total + Kit 300 Ml 208505,6281006473904,Lifebuoy Body Wash Total +Kit 300ml 208505,code128,Lifebuoy,121002765
Lifebuoy Body Wash Total 500 Ml 208514,6281006483941,Lifebuoy Body Wash Total 500ml 208514,code128,Lifebuoy,121009278
Ghalior Paris Liquid Lipstick (N 515) Org 400754,3701340400754,Liquid Lipstick (N.515) org 400754,code128,Ghalior Paris,121019357
Locoid Lipocream 1 Mg 30 Gms,08718692510319,Locoid Lipocream 1mg   30 gms,code128,Locoid,8718692510319
Locoid Ointment 1 Mg 30 Gm,08718692510326,Locoid Ointment 1mg   30 gm,code128,Locoid,8718692510326
Lohist 10 Mg 10 Tab,06285105000795,Lohist 10mg 10Tab,code128,Lohist,6285105000795
Lorahist 10 Mg 10 Tab,06281080010088,Lorahist 10mg (10tablets),code128,Lorahist,6281080010088
Loreal Excellence Kit 7 Blonde Blond,3061375114010,Loreal Excellence Kit 7 Blonde Blond,code128,Loreal,121014092
Loreal Revita Lift Eye Cream 15 Ml,3600520564913,Loreal Revita Lift Eye Cream 15ml,code128,Loreal,121005885
Loreal Revita Lift Night Cream 50 Ml,3600520564845,Loreal Revita Lift Night Cream 50ml,code128,Loreal,121005891
Lorinase Syrup 5/60 Mg 100 Ml,06281086011980,Lorinase  Syrup  5/60mg  100ml  p,code128,Lorinase,6281086011980
Lorinase D 2.5 120 Mg 20 Tab,111004145,Lorinase d 2.5/120mg 20 Tab,code128,Lorinase,6281086104484
Lorine Fm 10 Mg 10 Tap,06281086002575,Lorine FM 10mg 10Tap,code128,Lorine,6281086002575
Lorine Syrup 5Mg 5Ml 100 Ml,06281086000625,Lorine syrup 5mg/5ml 100ml   p,code128,Lorine,6281086000625
Louis Widmer Deo Cream 4+ (NSc) 40 Ml,7611480006555,Louis Widmer Deo Cream 4+ (n.sc) 40ml,code128,Louis Widmer,121002815
Louis Widmer Deo Roll On Non Perfumed (Dr5 ) 50 Ml,7611480006623,Louis Widmer Deo Roll-On Non Perfumed (DR5-) 50ml,code128,Louis Widmer,151001331
Louis Widmer Deo Spray Scented 75 Ml,7611480006654,Louis Widmer Deo Spray Scented 75ml,code128,Louis Widmer,121018919
Lux Shower Gel Velvet Touch 500 Ml 208102,6281006569539,Lux Shower Gel Velvet Touch 500ml 208102,code128,Lux,121011410
Marnys Marvit Oil (Primerose) 60 Cap,111002567,Marnys Marvit Oil (Primerose) Cap 60Cap,code128,Marnys,84108850808165
Marnys Royal Jelly 1000 Mg 30 Cap,8410885075239,Marnys Royal Jelly 1000mg 30 Cap,code128,Marnys,111001419
Marnys Royal Junior Syrup 125 Ml,111002648,Marnys Royal Junior Syrup 125ml,code128,Marnys,8410885079961
Ghalior Paris Mascara Eiffel (Org) 400365,3701340400365,Mascara Eiffel (org) 400365,code128,Ghalior Paris,121019397
Bourjois Mascara Sublimeyes (Org) 400112,3701340400112,Mascara Sublimeyes (org) 400112,code128,Bourjois,121019398
Bourjois Mascara Twist Extreme Fiber Brosse Black,3614228412537,Mascara Twist Extreme Fiber Brosse Black,code128,Bourjois,121018445
Bourjois Mascara Twist Up The Volume Red Head,3614227182455,Mascara Twist Up The Volume Red Head,code128,Bourjois,121018440
Bourjois Mascara Twist Up The Volume White Head,3052503702124,Mascara Twist Up The Volume White Head,code128,Bourjois,121018439
Optimum Nutrition Mass High Proteine And High Calorie Gainer Powder Choclate 6Lbs,5412860346818,Mass High Proteine and High Calorie Gainer Powder Choclate 6lbs,code128,Optimum Nutrition,121020905
Ghalior Paris Matt Infinity (Org) 400310,3701340400310,Matt INfinity (org) 400310,code128,Ghalior Paris,121019404
Mavala Nail Polish Remover 230 Ml,7618900911505,Mavala Nail Polish Remover 230ml,code128,Mavala,121017353
Mavala Nail Shield 10 Ml,7618900908093,Mavala Nail Shield 10ml,code128,Mavala,121018192
Mavala Scientifique K+Pro Keratin Nail Hardener 5 Ml,7618900995499,Mavala Scientifique K+Pro Keratin Nail Hardener 5ml,code128,Mavala,121017354
Maybelline Fit Me Face Concealer,30171558,Maybeline Fit Me Face Concealer,code128,Maybelline,121018813
Maybelline Fit Me Matte Poreless 330 Toffee,7509552845655,Maybelline Fit Me Matte Poreless 330 Toffee,code128,Maybelline,121019238
Mebagen 135 Mg 30 Fc Tab,06281080010101,Mebagen 135mg 30FC tab,code128,Mebagen,6281080010101
Mebo 15 Gm Oint,111001426,Mebo 15gm oint,code128,Mebo,6291100083367
Megatop Fish Oil Syrup 125 Ml,111003600,Megatop Fish Oil Syrup 125ml,code128,Megatop,8410885077820
Methycobal 500 Mcg 30 Tab,15000000000000 ,Methycobal 500 mcg 30 Tab,code128,Methycobal,15000000000000
Mosegor 0.5 Mg 30 Tab,07612791250309,Mosegor 0.5 mg 30 tab,code128,Mosegor,7612791250309
Mosegor Syrup 100 Ml,07612791041594,Mosegor syrup 100ml,code128,Mosegor,7612791041594
Motilium 10 Mg 30 Tab,05413868100327,Motilium 10mg 30tab,code128,Motilium,5413868100327
Moven 15 Mg Caps 30 Caps,06251159025237,Moven 15mg caps 30 caps,code128,Moven,6251159025220
Mr Tumee Calc +Vit D Gummy,835776000158,MR Tumee Calc+Vit D Gummy,code128,Mr Tumee,111004178
Mr Tumee Multi Vitamin Mineral 60 Tum,4022679150455,Mr Tumee Multi Vitamin Mineral 60Tum,code128,Mr Tumee,111002659
Mr Tumee Dha Omega 3 Gummy,835776000882,MR. Tumee Dha Omega3 Gummy,code128,Mr Tumee,111004177
Mucinex 600 Gm 20 Tab,06295120012345,Mucinex 600g Tab 20s,code128,Mucinex,6295120012345
Mucosolvan 100 Ml Syrup,06285079000272,Mucosolvan 100ml syrup,code128,Mucosolvan,6285088002304
Mucosolvan 30 Mg Syrup 250 Ml,111003822,Mucosolvan 30mg/5ml Syrup 250ml,code128,Mucosolvan,6285088002311
Nair Sensitive Tube,5010724506776,Nair Sensitive Tube,code128,Nair,121003111
Naphcon A Drops,05413895030819,Naphcon A  Drops,code128,Naphcon,300650287036
Nasonex 0.05% Spray 120 D,06285193000141,Nasonex 0.05% Spray120 D,code128,Nasonex,6285193000141
Natures Answers Fluid Extract Licorice Root 30 Ml,83000006401,Nature Answers Fluid Extract Licorice Root 30ml,code128,Natures Answers,121019708
Neo Healar 30 Gm Oint,06251159028504,Neo Healar 30Gm Oint,code128,Neo Healar,6251159028504
Neorin Syrup 2.5 Mg 150 Ml,06281086002063,Neorin syrup  2.5mg/5ml   150ml,code128,Neorin,6281086002063
